ROW_ID,GENERO,ANIOS,ESTADO,FECHA_ULT_COMPRA,ARTICULOS_BEBES,MONTO_BEBES,ARTICULOS_OTROS,MONTO_OTROS,ARTICULOS_TOTALES,MONTO_TOTALES,Q1,Q2,Q3,Q4
12148,M,38,MORELOS,2022-05-01,5,"103,948,359,296",11,"2,311,417,560,187",16,"3,350,901,153,147",0,16,0,0
11236,M,55,MEXICO,2022-05-01,2,"18,393,108,956",14,"1,690,668,910,439",16,"1,874,599,999,999",0,16,0,0
1130580,F,28,JALISCO,2022-05-01,1,"29,719,468,861",15,"3,475,035,151,271",16,"3,504,754,620,132",0,16,0,0
12760,F,67,YUCATAN,2022-07-01,1,"99,250,742,921",15,"2,227,702,849,424",16,"2,326,953,592,345",0,0,16,0
12265,F,29,SINALOA,2022-05-01,1,"158,579,993,324",15,"2,839,420,006,676",16,2998,0,16,0,0
11568,F,35,,2022-03-01,14,752.8,1,199,15,951.8,15,0,0,0
137126,F,72,,2022-08-01,2,102.6,13,1332,15,1434.6,0,0,15,0
1225,F,48,GUANAJUATO,2022-05-01,6,414,9,876.05,15,1290.05,0,15,0,0
183,F,75,VERACRUZ DE IGNACIO DE LA LLAVE,2022-04-01,6,"1,033,972,278,023",9,"2,108,837,721,977",15,3142.81,10,5,0,0
1609,F,68,VERACRUZ DE IGNACIO DE LA LLAV,2022-07-01,1,159.2,14,"2,239,899,999,999",15,"2,399,099,999,999",4,0,11,0
11255,F,65,CHIAPAS,2022-03-01,2,193.8,13,2899.75,15,3093.55,15,0,0,0
169,M,41,OAXACA,2022-04-01,6,463.2,9,944.29,15,1407.49,4,11,0,0
11728,F,32,MEXICO,2022-05-01,6,1208.8,9,1864.2,15,3073,0,15,0,0
1359,M,37,MEXICO,2022-07-01,9,1270.5,6,1036.7,15,2307.2,0,0,15,0
11708,I,61,MEXICO,2022-08-01,3,"367,726,301,198",12,"3,534,504,826,569",15,"3,902,231,127,767",0,7,8,0
11216,M,65,MEXICO,2022-07-01,4,491.4,11,1672.4,15,2163.8,0,14,1,0
138312,F,30,DISTRITO FEDERAL,2022-08-01,3,"337,967,152,896",12,"2,362,032,847,103",15,"2,699,999,999,999",0,0,15,0
11424,M,35,TLAXCALA,2022-05-01,7,844.75,8,2031.4,15,2876.15,7,8,0,0
124502,F,30,DURANGO,2022-06-01,8,"1,203,832,333,716",7,1323.4,15,"2,527,232,333,716",8,7,0,0
13470,F,74,DISTRITO FEDERAL,2022-07-01,4,591.3,11,1512.45,15,2103.75,0,0,15,0
12674,F,45,JALISCO,2022-03-01,12,"1,358,648,812,095",3,"514,673,686,104",15,"1,873,322,498,199",15,0,0,0
11556,F,44,TABASCO,2022-05-01,1,"142,386,240,339",14,"246,729,899,985",15,"2,609,685,240,189",0,15,0,0
13549,M,36,QUINTANA ROO,2022-07-01,4,"333,578,431,373",11,"1,666,421,568,627",15,2000,0,0,15,0
11434,F,62,NUEVO LEON,2022-04-01,7,"812,287,159,474",8,"865,521,742,009",15,"1,677,808,901,483",0,15,0,0
11490,F,37,TLAXCALA,2022-03-01,10,"1,190,141,281,595",5,"1,416,894,044,256",15,"2,607,035,325,851",15,0,0,0
112128,F,41,DISTRITO FEDERAL,2022-05-01,1,119.4,14,1557,15,1676.4,0,15,0,0
11451,M,40,NUEVO LEON,2022-05-01,3,225.2,12,2654.4,15,2879.6,0,15,0,0
1354,M,36,TLAXCALA,2022-07-01,5,540.9,10,1451.07,15,1991.97,0,0,15,0
12350,F,36,MICHOACAN DE OCAMPO,2022-02-01,6,255.78,9,844.97,15,1100.75,15,0,0,0
11114,M,46,SINALOA,2022-05-01,9,1498.35,6,1627.2,15,3125.55,1,14,0,0
11762,F,45,TABASCO,2022-03-01,7,576.75,8,2128,15,2704.75,15,0,0,0
11722,F,29,JALISCO,2022-05-01,5,"759,975,558,365",9,"2,057,703,455,542",14,"2,817,679,013,907",0,14,0,0
11870,F,35,MEXICO,2022-07-01,7,1540.8,7,699.84,14,2240.64,8,0,6,0
1660,M,53,GUERRERO,2022-01-01,8,619.35,6,933.72,14,1553.07,14,0,0,0
11530,F,68,NAYARIT,2022-06-01,1,"91,677,477,831",13,"2,987,034,531,333",14,"3,078,712,009,164",11,3,0,0
147,F,42,NAYARIT,2022-06-01,12,"1,998,173,696,698",2,"314,936,303,302",14,2313.11,0,14,0,0
1132210,F,,COAHUILA DE ZARAGOZA,2022-03-01,2,379.2,12,4014,14,4393.2,14,0,0,0
13550,M,57,MEXICO,2022-07-01,3,"55,489,165,174",11,"3,402,768,348,259",14,"3,957,659,999,999",0,0,14,0
1655,F,39,HIDALGO,2022-03-01,2,88,12,793,14,881,14,0,0,0
11282,M,49,PUEBLA,2022-07-01,7,1058.2,7,1155,14,2213.2,0,8,6,0
118220,F,36,DISTRITO FEDERAL,2022-03-01,4,289.6,10,677,14,966.6,14,0,0,0
173,M,78,DISTRITO FEDERAL,2022-08-01,11,1223.1,3,195.14,14,1418.24,4,2,8,0
1487,F,67,MORELOS,2022-06-01,1,"27,715,471,798",13,"2,740,958,197,545",14,"3,018,112,915,525",0,14,0,0
11749,F,50,MEXICO,2022-02-01,2,62.1,12,2079.89,14,2141.99,14,0,0,0
17216,F,67,CHIAPAS,2022-04-01,5,"60,346,146,626",9,"1,838,388,533,738",14,"2,441,849,999,998",0,14,0,0
128842,F,34,DISTRITO FEDERAL,2022-07-01,7,"719,892,327,529",7,"1,586,650,655,491",14,"230,654,298,302",0,0,14,0
11500,M,35,MICHOACAN DE OCAMPO,2022-07-01,9,789.8,5,2930.3,14,3720.1,0,2,12,0
11950,M,50,DISTRITO FEDERAL,2022-05-01,2,448.27,12,3806.35,14,4254.62,0,14,0,0
11580,M,27,DISTRITO FEDERAL,2022-07-01,1,"87,830,526,189",13,"1,700,899,473,811",14,1788.73,0,0,14,0
1430,F,68,DISTRITO FEDERAL,2022-02-01,1,143.1,13,1843.91,14,1987.01,14,0,0,0
120160,M,42,PUEBLA,2022-04-01,6,1014,8,1824.1,14,2838.1,0,14,0,0
11213,F,37,VERACRUZ DE IGNACIO DE LA LLAVE,2022-05-01,2,436.47,12,2508.5,14,2944.97,0,14,0,0
114136,F,31,VERACRUZ DE IGNACIO DE LA LLAV,2022-02-01,10,892.07,4,340.38,14,1232.45,14,0,0,0
12140,F,30,PUEBLA,2022-06-01,6,657,8,1189.8,14,1846.8,0,14,0,0
115998,F,54,GUANAJUATO,2022-03-01,6,639.2,7,2458.15,13,3097.35,13,0,0,0
12196,F,26,MORELOS,2022-05-01,6,439.2,7,949.5,13,1388.7,0,13,0,0
11283,M,40,DISTRITO FEDERAL,2022-05-01,5,210,8,2319.08,13,2529.08,0,13,0,0
111412,F,49,MEXICO,2022-05-01,10,631.1,3,8643.3,13,9274.4,0,13,0,0
1372,M,43,TLAXCALA,2022-08-01,3,653.4,10,1700.17,13,2353.57,0,0,13,0
121558,M,26,,2022-05-01,1,103.2,12,2326,13,2429.2,0,13,0,0
11522,F,35,,2022-05-01,2,398.4,11,2173.6,13,2572,0,13,0,0
190,F,59,GUANAJUATO,2022-07-01,10,1059.3,3,289.3,13,1348.6,0,10,3,0
112096,M,49,MEXICO,2022-03-01,8,1375.1,5,1601.45,13,2976.55,13,0,0,0
12998,F,55,TABASCO,2022-05-01,10,955.53,3,1986.56,13,2942.09,2,11,0,0
195,F,58,GUANAJUATO,2022-08-01,1,"34,797,292,525",12,"3,030,056,503,827",13,"3,378,029,429,077",0,0,13,0
